word,definition,pos
ailhi anli,affirmation,(n)
ailhika,justice,(n)
ailhinchi,affirm,(v)
ailhopulli,crossing,(n)
aiok panichi,muss,(n)
aiokchya,salvation,(n)
aioklhilichi,gloom,(n)
aioklhilika,dark place,(n)
aiokpanichi,impair,(v)
aiokpoloka,flaw,(n)
aiokpuloka,calamity,(n)
aiokpuni,havoc,(n)
aioktunnichi,solve,(v)
aiolhponi,kitchen,(n)
aiombinili,seat,(n)
aiombinili fala,bench,(n)
aiombinili holitompa,throne,(n)
aiombinili iyi,chair leg,(n)
aioshta,fourth,(adj)
aioshtalichi,four times,(v)
aiowutta yakni,hunting ground,(n)
aipalummi,awful,(adj)
aishi,subtract,(v)
aitafama,scene,(n)
aitanaha,synagogue,(n)
aitaya,recumbent,(adj)
aitaya,shore,(n)
aituklummi,delay,(v)
aiulhpisa,deserve,(v)
aiulhpisachi,adjust,(v)
aiulhto,case,(n)
aiulhtoba ona,due,(adj)
aiulli omboli,assess,(v)
aiutta,abide,(v)
aiutta iksho,vagabond,(n)
aiuttatok nitak,birthday,(n)
aiya,drift,(v)
aiya bunna tok,trend,(n)
aiya chi,send,(v)
aiya iksho,strand,(n)
aiya tok,depart,(v)
aiyachufa,heir,(n)
aiyahta,native,(n)
aiyahta tok,nativity,(n)
aiyahunta yakni,state,(n)
aiyaka,trail,(v)
aiyakachi,trace,(v)
aiyakaya,sequel,(n)
aiyali hoke,farewell,(interj.)
aiyanili,hope,(v)
aiyanulli,pipe,(n)
aiyapali,creep,(v)
aiyapalichi,creep after,(v)
aiyashachi,store,(v)
aiyemeta,sport,(n)
aiyemita,revel,(v)
aiyikbichi,sty,(n)
aiyimeta,spirit,(n)
aiylhchi,justify,(v)
aiylhika,justice,(n)
aiylhikachi,justification,(n)
aiyobosi,unlovely,(adj)
aiyowa,extortion,(n)
aiyukali,each,(adj)
aiyukpa,rejoice,(v)
aiyukpachi,altar,(n)
aiyukpchi,bid (greet),(v)
aiyuli omboli,evaluate,(v)
aiyulli,cost,(v)
aiyulli atumpa,overcharge,(v)
aiyulli chaha,price,(n)
aiyulli ishto,costly,(adj)
aiyulli onuttola iksho,unvalued,(adj)
aiyulli uba-weli,raise price,(v)
aiyummomi chatok,usual,(adj)
aiyumomi,custom,(n)
aiyushachika,temptation,(n)
aiyuta,reside,(v)
aiyuta iksho,nomad,(n)
aiyutta,inhabit,(v)
akanili,part,(v)
akanima hni ik ithano,perplex,(v)
akashumpa,auxiliary,(n)
akawa,squeak,(v)
akechi,fell,(v)
akenemi iksho,leisure,(n)
akiliwa,belch,(v)
akk  holita,coop,(n)
akk chukka,hen-house,(n)
akk chukwa,chicken pox,(n)
akk himita,pullet,(n)
akk hofunti,chick,(n)
akk holisso,guinea,(n)
akk iskuno,bantam,(n)
akk nukni,cock,(n)
akk oshi bekulhchi,omelet,(n)
akk oshi lakna,yolk,(n)
akk tek,hen,(n)
akk ubi,chicken hawk,(n)
akk ulhpoba,poultry,(n)
akka,chicken,(n)
akka nukni,rooster,(n)
aknchi aboshi,booth,(n)
akni,elder,(n)
akocha,gap,(n)
akolla,mine,(n)
akolokbi,gorge,(n)
akolubi,gulch,(n)
akonoli,nebula,(n)
akostinichi,ascertain,(v)
akostininchi,wisdom,(n)
akostinnichi,realize,(v)
akshochi,abolition,(n)
akucha,evolve,(v)
akullo,tight,(adj)
akullo iksho,simple,(adj)
akullochi,clasp,(v)
akunia,daft,(adj)
Akus,August,(n)
akushofa,clearly,(adv.)
alapalchi,boot,(adj)
alata,nest,(v)
alatali,patch,(v)
alawachi,elaborate,(v)
alhabeta,slough,(n)
alhakofi,refuge,(n)
alhchi,declare,(v)
alhchi; lhi,accurate,(adj)
alhchifa,sink,(n)
alhepeli,cover,(v)
alhepia,cover,(n)
alhepiya,lid,(n)
alhepiyah,flap,(n)
alhopulli,crossing,(n)
alhoputli,diarrhea,(n)
alhpi,handle,(n)
alhpisa,chaste,(adj)
alhpisa anukfilli,logic,(n)
alhpisachi,correct,(v)
alhpisahchi,rectify,(v)
alhpisasi,medium,(adj)
alichi,cultivate,(v)
alikchi,doctor,(n)
alikchi holba,quack,(n)
alikchibushpo,scalpel,(n)
aloa,wick,(n)
aloachi,burn,(n)
aloma,haunt,(n)
aloma aboa,toilet,(n)
alomi,hoard,(n)
alomichi,concealment,(v)
alota,full,(adj)
alotoa,brim,(v)
alotola chi,fill,(v)
alotoli,fill,(v)
alotoli tok,filled,(v)
alotolit anli,recount,(v)
alotolit ayukpchi,whole-hearted,(adj)
alotowa,full,(adv)
alotut ubanupli,overrun,(v)
alushkachi,slander,(n)
alushpa,cozy,(adj)
amachi,fan,(n)
amahchi,ventilate,(v)
amasali,scar,(n)
amilkasi,handy,(adj)
aminti,descendant,(n)
amokofa,raid,(n)
amsholi,avid,(adj)
ana,again,(prep)
ana achamapa,re-echo,(v)
ana afanachi,re-examine,(v)
ana chukwa,re-enter,(v)
ana hotina,recount,(v)
ana ikbi,reconstruct,(v)
ana ishi,retake,(v)
ana isht aiya,resume,(v)
ana itaholhtina,reorganize,(v)
ana itihalutli,remarry,(v)
ana tewupli,reopen,(v)
ana ubawa,rise,(v)
ana yukachi,recapture,(v)
ana; micha,and,(conj)
anaksholi,singe,(v)
anehechi,gin,(n)
aninchi,include,(v)
anka ulhkona,petticoat,(n)
ankaka pila,inward,(adj)
ankawa,peanut,(n)
anli,acknowledge,(v)
anoktawli,transparent,(adj)
anoktowli,pellucid,(adj)
anonkaka,in,(prep)
anoshkna,admire,(v)
anukchito,depend,(v)
anukfila,theory,(n)
anukfila tshpa,temper,(n)
anukfilla ishto,sensation,(n)
anukfilli,attention,(n)
anukfilli chukma,sensible,(adj)
anukfilli ila,notional,(adj)
anukfilli tekabi,worry,(n)
anukfillila,notional,(adj)
anukfillit iknacho,narrow-minded,(adj)
anukfillit tahli,decide,(v)
anukfoka,memory,(n)
anukfokachi,inspire,(v)
anukfokichi,remind,(v)
anuksitili,gallows,(n)
anuktawli,clear,(adj)
anuktla iksho,unquestionable,(adj)
anuktuklo,stammer,(v)
anulhichi,nail,(v)
anulhichi,clinch,(v)
anumpa,language,(n)
anumpa achapa,retort,(v)
anumpa aihekia,pulpit,(n)
anumpa alhi isht oktunni,affidavit,(n)
anumpa anli,news,(n)
anumpa asilha,query,(n)
anumpa chukoshpa,evil-speaking,(adj)
anumpa chukoshpali,sycophant,(n)
anumpa falama,reply,(v)
anumpa faleli,tirade,(n)
anumpa holisso,treatise,(n)
anumpa huksi,nonsense,(n)
anumpa ilayuka,parlance,(n)
anumpa ilbusha,prayer,(n)
anumpa ilbusha asilha,pray,(v)
anumpa ishkobo,subject,(n)
anumpa isht anli,tract,(n)
anumpa ishtlawa,harp,(v)
anumpa itachufa,verbatum,(adv)
anumpa itilawachi,controversy,(n)
anumpa kcha,verbal,(adj)
anumpa kullo,oath,(n)
anumpa kullo ilomboli,swear,(v)
anumpa kullochi,aloud,(adv)
anumpa lawachi,gab,(n)
anumpa leteha,slang,(n)
anumpa lhfa,sentence,(n)
anumpa nukowa,rant,(v)
anumpa okpolo omboli,condemn,(v)
anumpa okpulo,language,(n)
anumpa okpuni,cuss,(v)
anumpa omboli,accuser,(n)
anumpa shali,ambassador,(n)
anumpa tilfasi,address,(n)
anumpa tosholi,define,(v)
anumpalawa,gabble,(v)
anumpoli,speak,(v)
anumpoli iknacho,splutter,(v)
anumpoli impona,fluent,(adj)
anumpoli tok,spoke,(v)
anunachi,bakery,(n)
anushkona,gloat,(v)
anusi,bunk,(n)
anwa,track,(n)
anwa tok,footprint,(n)
apakfota,avoid,(v)
apakli tobachi,bud,(n)
apakota,hem,(n)
apakotlichi,hem,(v)
apakotlichi tok,hemmed,(v)
apalummi,awful,(adj)
apanukfila,grub,(n)
apela,assistant,(n)
apela,abet,(v)
apelachi,abettor,(n)
apelachi tok,favored,(n)
apelchi,succor,(v)
apelechi,patron,(n)
apelichika,kingdom,(n)
apfachi,blow,(v)
apisa,erect,(adj)
apisa,survey,(v)
apisa,scheme,(n)
apisa chukma,scenery,(n)
apisachi,attend,(v)
apisachi cheleta,vigilant,(adj)
apisachi eho,matron,(n)
apisachi iksho,unguarded,(adj)
apisachi im munli,guide,(n)
apisali,direct,(v)
apisalit pisa,glare,(v)
apishi,nipple,(n)
apisli,unaffected,(adj)
apist anumpoli,frank,(adj)
apistekeli,aggravate,(v)
apistikeli,pesky,(adj)
apisut hekia,perpendicular,(adj)
apokfoha,reel,(n)
apolusli,daub,(v)
apotaka,side,(adj)
apotakachi,sidle,(v)
apukchilofa; atakli,cling,(v)
apukfo tok,wound,(v)
apukfoa,spindle,(n)
apukfochi,whip,(v)
apukfoli,wind,(v)
apukfota,circumference,(n)
apuknchi pisa,overlook,(v)
apukota,vent,(n)
apulummi,hardship,(n)
apushli,broil,(v)
apushli tok,roasted,(v)
aseteli,attach,(v)
ash tok,quote,(v)
ashanachi,screw,(v)
ashela,dumpling,(n)
ashli,suggest,(v)
ashmola,cottonwood,(n)
ashobohli,chimney,(n)
ashoboli,chimney,(n)
ashokolbi,corner,(n)
ashokulbi,nook,(n)
ashopulla,lamp,(n)
ashtali,pane,(n)
ashunachi,seal,(v)
ashunichi,lock,(n)
asi,nearly,(adv)
asilha,appeal,(v)
asilhfoha,inquire,(v)
asita,leather,(n)
asunalichi,face,(v)
ataha,stub,(n)
ataha iksho,everlasting,(adj)
atahli,complete,(v)
ataiya,lean on,(v)
atakalichi,hinge,(v)
atali,accomplish,(v)
ataloa,psalm,(n)
ataloa isht unoa,note,(n)
